file	1stisof	occup	seqs	mode_len	SE_len	mode_exons	SE_exons	mode_dist	max_dist	SE_dist	sites	Ca 	Cr_max 	Cr_min	Cc_max	Cc_min 	Cij_max	Cij_min
gene:OsNip_01G019090.cds.faa	1	15	15	248	10.7	2	0.1	0.656627	0.762431	0	262	0.783461	0.946565	0.633588	1	0.066667	0.946565	0.610687
gene:OsNip_01G025850.cds.faa	1	11	11	63	1.3	1	0.1	0	0.095238	0	72	0.909091	1	0.875	1	0.272727	1	0.875
LOC_Os01g32060.cds.faa	1	10	10	225	9.6	3	0.3	0	0.692308	0	248	0.858065	0.959677	0.629032	1	0.1	0.907258	0.58871
LOC_Os01g13680.cds.faa	1	15	15	107	3	2	0.1	0	0.443182	0	107	0.922118	1	0.738318	1	0.666667	1	0.672897
LOC_Os01g56260.cds.faa	1	3	3	63	12.3	3	0	0	0.142857	0	100	0.753333	1	0.63	1	0.333333	0.63	0.63
LOC_Os01g26010.cds.faa	1	13	13	146	0.1	2	0	0.034483	0.172414	0	151	0.96434	0.966887	0.960265	1	0.076923	0.966887	0.933775
LOC_Os01g47910.cds.faa	1	4	4	93	0	1	0	0	0	0	93	1	1	1	1	1	1	1
LOC_Os01g47480.cds.faa	1	4	4	77	0	1	0	0	0.012987	0	77	1	1	1	1	1	1	1
gene:OsNip_01G003290.cds.faa	1	9	9	115	4.4	2	0.2	0	0.402299	0	118	0.879473	0.974576	0.728814	1	0.444444	0.974576	0.70339
LOC_Os01g43290.cds.faa	1	13	13	152	7.7	2	0	0	0.192308	0	181	0.757756	1	0.574586	1	0.076923	0.878453	0.558011
LOC_Os01g45120.cds.faa	1	9	9	145	0	1	0	0	0.068966	0	145	1	1	1	1	1	1	1
LOC_Os01g27030.cds.faa	1	11	11	138	6.2	2	0.2	0	0.5	0	157	0.773596	0.878981	0.611465	1	0.090909	0.878981	0.414013
Os01g0154600.cds.faa	1	15	15	507	33.3	6	0.4	0	0.137795	0	718	0.694708	0.997214	0.328691	1	0.066667	0.997214	0.324513
LOC_Os01g54070.cds.faa	1	5	5	72	18.1	2	0.2	0	0.260274	0	149	0.779866	0.986577	0.483221	1	0.2	0.966443	0.483221
LOC_Os01g32574.cds.faa	1	15	15	131	5.8	4	0.2	0	0.19084	0	218	0.611315	0.926606	0.527523	1	0.066667	0.692661	0.527523
LOC_Os01g59310.cds.faa	1	4	4	114	0	1	0	0.026316	0.026316	0	114	1	1	1	1	1	1	1
LOC_Os01g47440.cds.faa	1	8	8	261	0	2	0	0	0.003831	0	261	1	1	1	1	1	1	1
LOC_Os01g54160.cds.faa	1	8	8	184	39.4	2	0.7	0	0.169192	0	452	0.538993	0.993363	0.40708	1	0.125	0.869469	0.40708
LOC_Os01g46920.cds.faa	1	13	13	66	0.6	2	0	0	0.196721	0	66	0.982517	1	0.924242	1	0.769231	1	0.924242
LOC_Os01g46460.cds.faa	1	11	11	64	0	2	0	0	0	0	64	1	1	1	1	1	1	1
LOC_Os01g04830.cds.faa	1	13	13	89	7	1	0.1	0.808989	0.820225	0	164	0.706848	0.957317	0.542683	1	0.153846	0.957317	0.5
LOC_Os01g18610.cds.faa	1	11	11	233	7.7	4	0.3	0	0.853333	0	338	0.667294	0.727811	0.443787	1	0.090909	0.689349	0.106509
LOC_Os01g57140.cds.faa	1	11	11	132	0	1	0	0	0.030303	0	132	1	1	1	1	1	1	1
LOC_Os01g65870.cds.faa	1	8	8	93	0	2	0	0	0.010753	0	93	1	1	1	1	1	1	1
LOC_Os01g73180.cds.faa	1	8	8	99	0	2	0	0	0.070707	0	99	1	1	1	1	1	1	1
LOC_Os01g67790.cds.faa	1	6	6	160	7.5	1	0	0	0.791304	0.1	164	0.929878	0.97561	0.70122	1	0.166667	0.97561	0.676829
LOC_Os01g60750.cds.faa	1	9	9	76	5.5	1	0	0	0.052632	0	109	0.798165	1	0.697248	1	0.333333	1	0.697248
LOC_Os01g56700.cds.faa	1	13	13	529	41.8	2	0.1	0.012448	0.063063	0	529	0.844263	1	0.20983	1	0.461538	1	0.196597
LOC_Os02g01460.cds.faa	1	3	3	148	17.6	7	0.7	0.367816	0.444444	0.1	162	0.72428	0.91358	0.537037	1	0.333333	0.654321	0.450617
LOC_Os01g70700.cds.faa	1	3	3	137	19.6	3	0.7	0	0.819444	0.1	147	0.748299	0.931973	0.489796	1	0.333333	0.823129	0.333333
LOC_Os01g64530.cds.faa	1	15	15	184	0.7	2	0	0	0.310345	0	186	0.985663	0.989247	0.935484	1	0.066667	0.989247	0.924731
LOC_Os01g73290.cds.faa	1	12	12	93	1.5	3	0	0	0.036145	0	93	0.955197	1	0.892473	1	0.583333	1	0.892473
LOC_Os02g11850.cds.faa	1	6	6	106	27.5	3	0.2	0	0.481132	0	233	0.62804	1	0.403433	1	0.333333	1	0.403433
gene:OsNip_01G014400.cds.faa	1	15	16	257	19.9	5	0.4	0	0.902913	0	392	0.559152	0.992347	0.262755	0.9375	0.0625	0.655612	0
LOC_Os02g05130.cds.faa	1	10	10	108	3.5	2	0.2	0	0.105882	0	108	0.936111	1	0.787037	1	0.7	1	0.787037
LOC_Os01g48600.cds.faa	1	8	8	97	12.2	3	0.3	0	0.897727	0	216	0.543403	0.824074	0.407407	0.75	0.125	0.680556	0
LOC_Os01g73240.cds.faa	1	14	14	229	4.6	3	0	0	0.127273	0	232	0.968904	1	0.711207	1	0.071429	0.991379	0.711207
LOC_Os01g61520.cds.faa	1	9	9	501	86.4	3	0.5	0.005988	0.005988	0	993	0.72474	1	0.504532	1	0.444444	1	0.504532
LOC_Os02g05250.cds.faa	1	13	13	144	7.6	3	0.2	0	0.422535	0	144	0.922009	1	0.493056	1	0.846154	1	0.493056
LOC_Os01g62450.cds.faa	1	8	8	56	2.2	1	0	0	0.517241	0	75	0.81	0.92	0.733333	1	0.375	0.906667	0.626667
LOC_Os01g51180.cds.faa	1	15	15	378	4.4	8	0.1	0	0.028818	0	378	0.958201	1	0.907407	1	0.533333	1	0.907407
LOC_Os02g10170.cds.faa	1	13	13	213	9.7	1	0.1	0	0.283951	0	277	0.768675	1	0.584838	1	0.076923	0.945848	0.472924
LOC_Os02g13860.cds.faa	1	9	9	128	0	2	0	0	0	0	128	1	1	1	1	1	1	1
LOC_Os01g63020.cds.faa	1	10	10	264	27	3	0.5	0	0.863636	0	447	0.576063	0.997763	0.234899	0.9	0.1	0.590604	0
LOC_Os02g13820.cds.faa	1	12	12	81	0	1	0	0	0	0	81	1	1	1	1	1	1	1
LOC_Os02g15300.cds.faa	1	9	9	129	2.6	2	0	0	0.122642	0	129	0.980189	1	0.821705	1	0.888889	1	0.821705
LOC_Os02g11100.cds.faa	1	10	10	164	15.2	2	0	0	0.202703	0	174	0.68046	0.942529	0.413793	1	0.2	0.942529	0.362069
LOC_Os02g18300.cds.faa	1	5	5	70	0	1	0	0	0.085714	0	70	1	1	1	1	1	1	1
LOC_Os02g21760.cds.faa	1	5	5	155	0	2	0	0	0	0	155	1	1	1	1	1	1	1
LOC_Os02g17840.cds.faa	1	6	6	144	20.6	2	0	0.115385	0.201389	0	146	0.671233	0.986301	0.356164	1	0.5	0.986301	0.342466
LOC_Os02g22820.cds.faa	1	7	7	86	0	2	0	0	0	0	86	1	1	1	1	1	1	1
LOC_Os02g14300.cds.faa	1	14	14	107	1.3	2	0	0.09	0.280374	0	113	0.927939	1	0.884956	1	0.142857	1	0.884956
LOC_Os02g28210.cds.faa	1	3	3	456	75.9	3	0.3	0	0.486486	0.1	529	0.575299	0.862004	0.41966	1	0.333333	0.41966	0.302457
LOC_Os02g06060.cds.faa	1	9	9	830	30.8	2	0.2	0.271845	0.271845	0	1009	0.716441	0.822597	0.591675	1	0.333333	0.822597	0.447968
LOC_Os02g25890.cds.faa	1	8	8	88	0	1	0	0	0.034091	0	88	1	1	1	1	1	1	1
LOC_Os02g21680.cds.faa	1	14	14	67	0.1	2	0	0	0.880597	0	80	0.840179	0.85	0.8375	1	0.214286	0.85	0.6875
LOC_Os01g67380.cds.faa	1	15	15	153	30.4	3	0.2	0	0.888889	0	566	0.411896	0.727915	0.270318	1	0.066667	0.727915	0.022968
LOC_Os02g19160.cds.faa	1	11	11	101	1.5	2	0.2	0	0.019802	0	111	0.94267	1	0.90991	1	0.363636	1	0.90991
LOC_Os02g27190.cds.faa	1	11	11	146	2.5	1	0.1	0	0.006849	0	173	0.858119	1	0.843931	1	0.090909	0.843931	0.843931
LOC_Os02g27250.cds.faa	1	9	9	85	0	2	0	0	0	0	85	1	1	1	1	1	1	1
LOC_Os02g31200.cds.faa	1	4	4	125	5.5	2	0.3	0.078431	0.11215	0	125	0.91	1	0.816	1	0.5	0.968	0.816
LOC_Os02g28450.cds.faa	1	10	10	88	1.7	2	0.2	0.089744	0.089744	0	88	0.943182	1	0.886364	1	0.5	1	0.886364
LOC_Os02g33570.cds.faa	1	5	5	135	1.8	3	0	0	0.309524	0	146	0.912329	0.924658	0.863014	1	0.2	0.924658	0.787671
LOC_Os02g18800.cds.faa	1	11	12	119	68.4	3	0.4	0	0.848739	0	934	0.197627	0.995717	0.062099	1	0.083333	0.167024	0.062099
LOC_Os02g26380.cds.faa	1	15	15	91	0.5	1	0.1	0	0.373626	0	97	0.945017	0.989691	0.938144	1	0.133333	0.989691	0.927835
LOC_Os02g39940.cds.faa	1	4	4	88	0	3	0	0	0	0	88	1	1	1	1	1	1	1
LOC_Os02g19020.cds.faa	1	12	13	111	16.7	3	0.2	0	0.890411	0	300	0.372821	1	0.226667	0.615385	0.076923	0.426667	0
LOC_Os02g30440.cds.faa	1	9	9	150	0	2	0	0	0	0	150	1	1	1	1	1	1	1
LOC_Os02g26190.cds.faa	1	13	13	335	22.5	4	0.2	0	0.586777	0	457	0.653089	0.803063	0.26477	1	0.076923	0.733042	0.164114
LOC_Os02g41940.cds.faa	1	3	3	207	0	1	0	0	0.004831	0	207	1	1	1	1	1	1	1
LOC_Os02g36200.cds.faa	1	12	12	90	0	3	0	0	0	0	90	1	1	1	1	1	1	1
LOC_Os02g38990.cds.faa	1	7	7	94	2.9	3	0.1	0	0.094595	0	94	0.969605	1	0.787234	1	0.857143	1	0.787234
LOC_Os02g43530.cds.faa	1	5	5	119	14	3	0.2	0	0.806452	0.1	119	0.808403	1	0.521008	1	0.6	1	0.521008
LOC_Os02g37400.cds.faa	1	5	5	134	20.6	2	0	0.509804	0.858209	0.1	183	0.554098	0.748634	0.278689	1	0.2	0.73224	0.278689
LOC_Os02g15240.cds.faa	1	9	9	270	16.6	2	0.3	0	0.72549	0	373	0.689902	0.841823	0.410188	1	0.222222	0.841823	0.214477
LOC_Os02g38450.cds.faa	1	13	13	117	0	2	0	0.017094	0.034188	0	117	1	1	1	1	1	1	1
LOC_Os02g36310.cds.faa	1	15	15	139	54.9	2	0.1	0	0.841727	0	743	0.295469	1	0.187079	1	0.133333	1	0.187079
LOC_Os02g43450.cds.faa	1	7	7	131	0	3	0	0	0.007634	0	131	1	1	1	1	1	1	1
LOC_Os02g29600.cds.faa	1	6	6	331	45.9	7	0.7	0	0.344411	0	605	0.61157	0.98843	0.492562	1	0.166667	0.547107	0.46281
LOC_Os02g19490.cds.faa	1	10	10	161	10.1	2	0.1	0	0.018634	0	166	0.920482	1	0.373494	1	0.3	1	0.373494
LOC_Os01g19270.cds.faa	1	14	14	182	13.3	2	0.1	0	0.851406	0	390	0.468681	0.787179	0.279487	1	0.071429	0.489744	0.238462
LOC_Os02g43580.cds.faa	1	4	4	72	0	2	0	0	0	0	72	1	1	1	1	1	1	1
LOC_Os02g45640.cds.faa	1	7	7	244	19	2	0	0	0.212766	0	244	0.879391	1	0.577869	1	0.714286	1	0.577869
LOC_Os02g38960.cds.faa	1	15	15	90	5.5	3	0.1	0	0.48	0	164	0.554472	1	0.457317	1	0.066667	0.54878	0.457317
LOC_Os02g47070.cds.faa	1	3	3	71	16.7	2	0	0.422535	0.422535	0.1	134	0.654229	0.902985	0.529851	1	0.333333	0.529851	0.432836
LOC_Os01g58230.cds.faa	1	15	24	150	8.7	2	0.1	0.861538	0.861538	0	316	0.451477	0.911392	0.281646	0.625	0.041667	0.674051	0
LOC_Os01g38130.cds.faa	1	16	20	418	63.7	14	1.1	0	0.844444	0	1003	0.509372	0.855434	0.089731	0.8	0.1	0.855434	0
LOC_Os02g45440.cds.faa	1	13	13	87	0	1	0	0	0.045977	0	87	1	1	1	1	1	1	1
LOC_Os02g41570.cds.faa	1	10	10	61	2.1	2	0.2	0.272727	0.272727	0	75	0.828	0.986667	0.733333	1	0.2	0.986667	0.72
LOC_Os02g53370.cds.faa	1	11	11	110	0	2	0	0	0	0	110	1	1	1	1	1	1	1
LOC_Os02g52440.cds.faa	1	7	7	126	2.9	2	0	0	0.245283	0	126	0.977324	1	0.84127	1	0.857143	1	0.84127
LOC_Os02g47080.cds.faa	1	13	13	99	0	1	0	0	0.020202	0	99	1	1	1	1	1	1	1
LOC_Os02g51210.cds.faa	1	10	10	129	0	2	0	0	0.015504	0	129	1	1	1	1	1	1	1
Os01g0375200.cds.faa	1	16	29	509	21.3	10	0.4	0	0.841584	0	905	0.52269	0.960221	0.111602	0.931034	0.034483	0.562431	0
LOC_Os02g17930.cds.faa	1	10	17	264	14.6	2	0.3	0	0.901639	0	778	0.389385	0.586118	0.267352	0.529412	0.058824	0.407455	0
LOC_Os03g12580.cds.faa	1	7	7	79	0	2	0	0	0	0	79	1	1	1	1	1	1	1
LOC_Os03g11390.cds.faa	1	12	12	109	0	1	0	0	0	0	109	1	1	1	1	1	1	1
LOC_Os03g12130.cds.faa	1	15	15	145	1.8	1	0	0	0.117241	0	162	0.916049	1	0.895062	1	0.2	1	0.895062
LOC_Os03g19210.cds.faa	1	11	11	75	0	1	0	0	0	0	75	1	1	1	1	1	1	1
LOC_Os03g18930.cds.faa	1	8	8	125	1.6	2	0	0.032	0.083333	0	136	0.942096	1	0.919118	1	0.125	0.970588	0.919118
LOC_Os03g21759.cds.faa	1	11	11	182	0.9	2	0	0	0.032967	0	189	0.969697	1	0.962963	1	0.181818	1	0.962963
LOC_Os03g20830.cds.faa	1	14	14	137	4.9	1	0	0	0.478723	0	178	0.717897	0.769663	0.52809	1	0.214286	0.769663	0.297753
LOC_Os02g46170.cds.faa	1	12	13	89	3.6	1	0.2	0	0.842697	0	140	0.695055	0.85	0.635714	1	0.076923	0.821429	0.485714
Os03g0104100.cds.faa	1	15	15	124	7.5	2	0	0	0.879121	0	236	0.481638	0.847458	0.385593	1	0.066667	0.525424	0.15678
LOC_Os03g28060.cds.faa	1	6	6	156	8.7	1	0.3	0	0.875	0.1	176	0.837121	0.886364	0.590909	1	0.166667	0.886364	0.477273
LOC_Os02g07709.cds.faa	1	13	13	887	29.9	18	0.4	0	0.187588	0	1075	0.843649	0.988837	0.659535	1	0.076923	0.937674	0.546977
Os02g0792000.cds.faa	1	15	15	243	10	3	0.1	0	0.901734	0	285	0.737778	0.852632	0.505263	1	0.066667	0.852632	0.203509
LOC_Os03g30670.cds.faa	1	12	12	120	0	1	0	0	0.008333	0	120	1	1	1	1	1	1	1
LOC_Os03g24540.cds.faa	1	6	6	528	4.8	6	0	0	0.122288	0	532	0.972118	0.992481	0.951128	1	0.166667	0.992481	0.945489
LOC_Os03g27430.cds.faa	1	13	13	133	1.1	2	0.1	0	0.02459	0	133	0.987276	1	0.917293	1	0.846154	1	0.917293
gene:OsNip_03G020820.cds.faa	1	10	10	77	1.2	2	0	0	0.107692	0	77	0.984416	1	0.844156	1	0.9	1	0.844156
LOC_Os03g27890.cds.faa	1	8	8	160	8.6	2	0	0	0.4	0	210	0.750595	0.828571	0.47619	1	0.25	0.828571	0.409524
LOC_Os03g38094.cds.faa	1	4	4	59	0	2	0	0	0	0	59	1	1	1	1	1	1	1
LOC_Os03g40950.cds.faa	1	3	3	106	12.3	2	0	0	0.057971	0	106	0.883648	1	0.650943	1	0.666667	1	0.650943
Os03g0439250.cds.faa	1	7	7	161	6.7	2	0.2	0	0.391304	0	238	0.735894	0.815126	0.676471	1	0.428571	0.815126	0.491597
LOC_Os02g39020.cds.faa	1	15	15	490	36.9	8	0.5	0	0.867089	0	697	0.840268	0.964132	0.226686	0.933333	0.066667	0.964132	0
LOC_Os03g26810.cds.faa	1	11	11	179	1.6	2	0	0	0.264045	0	197	0.914629	0.994924	0.903553	1	0.090909	0.908629	0.898477
LOC_Os03g43870.cds.faa	1	3	3	239	28.7	3	0.3	0	0.398693	0.1	241	0.872752	0.991701	0.634855	1	0.333333	0.991701	0.626556
LOC_Os03g31120.cds.faa	1	11	11	80	6	2	0.1	0	0.85124	0	198	0.448577	0.686869	0.40404	1	0.090909	0.40404	0.242424
LOC_Os03g36640.cds.faa	1	16	16	80	7.1	1	0.1	0	0.188811	0	162	0.588735	0.993827	0.493827	1	0.0625	0.882716	0.493827
LOC_Os03g47030.cds.faa	1	4	4	63	0	1	0	0	0	0	63	1	1	1	1	1	1	1
Os03g0370600.cds.faa	1	15	18	64	10.2	2	0.1	0	0.84375	0	211	0.428383	0.981043	0.303318	1	0.055556	0.734597	0.260664
LOC_Os03g44220.cds.faa	1	3	3	66	0	1	0	0	0.090909	0	66	1	1	1	1	1	1	1
LOC_Os03g49010.cds.faa	1	4	4	70	4.5	2	0.2	0	0.057143	0	88	0.846591	1	0.795455	1	0.25	0.795455	0.795455
LOC_Os03g42920.cds.faa	1	10	10	140	9.2	2	0	0.05	0.21519	0	141	0.864539	0.992908	0.560284	1	0.2	0.992908	0.553191
LOC_Os03g46870.cds.faa	1	6	6	209	21.9	3	0.2	0.229358	0.229358	0	222	0.801051	1	0.490991	1	0.166667	0.941441	0.490991
LOC_Os03g46940.cds.faa	1	9	9	88	3.3	2	0	0	0.347826	0	101	0.806381	0.871287	0.673267	1	0.111111	0.871287	0.554455
Os03g0107100.cds.faa	1	15	15	849	40.2	14	1.2	0	0.214545	0	975	0.717812	0.873846	0.541538	1	0.066667	0.870769	0.48
LOC_Os03g45110.cds.faa	1	7	7	65	0	2	0	0	0	0	65	1	1	1	1	1	1	1
Os03g0144100.cds.faa	1	15	15	199	5.5	2	0.2	0	0.487603	0	369	0.579404	0.707317	0.512195	1	0.066667	0.634146	0.392954
LOC_Os03g10660.cds.faa	1	12	12	71	1.2	1	0	0.15493	0.15493	0	85	0.84902	1	0.835294	1	0.083333	0.835294	0.835294
LOC_Os03g56080.cds.faa	1	5	5	182	24	4	0.2	0	0.129032	0	187	0.84492	0.973262	0.331551	1	0.2	0.973262	0.304813
LOC_Os03g57390.cds.faa	1	5	5	86	0	2	0	0	0	0	86	1	1	1	1	1	1	1
LOC_Os03g51570.cds.faa	1	11	11	62	0	2	0	0	0	0	62	1	1	1	1	1	1	1
LOC_Os04g01550.cds.faa	1	4	4	130	0	2	0	0	0	0	130	1	1	1	1	1	1	1
gene:OsNip_03G031660.cds.faa	1	16	16	146	8.3	2	0.1	0	0.409574	0	236	0.615466	0.822034	0.440678	1	0.0625	0.822034	0.440678
LOC_Os03g56682.cds.faa	1	11	11	81	0	2	0	0	0	0	81	1	1	1	1	1	1	1
LOC_Os03g58670.cds.faa	1	5	5	84	5.6	2	0.2	0	0.25	0	88	0.813636	0.954545	0.670455	1	0.2	0.954545	0.670455
LOC_Os03g42550.cds.faa	1	9	9	148	6.4	2	0.1	0	0.860215	0	193	0.709845	0.766839	0.481865	1	0.111111	0.766839	0.248705
LOC_Os04g02590.cds.faa	1	9	9	81	0	1	0	0.012346	0.061728	0	81	1	1	1	1	1	1	1
Os01g0278200.cds.faa	1	15	21	61	91.2	24	2.4	0.803279	0.816667	0	1028	0.684176	0.987354	0.058366	1	0.095238	0.987354	0.039883
LOC_Os03g07050.cds.faa	1	16	16	482	4.4	5	0.2	0	0.226545	0	484	0.971333	0.995868	0.902893	1	0.0625	0.995868	0.876033
LOC_Os04g07850.cds.faa	1	5	5	72	0	1	0	0.041667	0.055556	0	72	1	1	1	1	1	1	1
LOC_Os03g56690.cds.faa	1	11	11	143	0	2	0	0	0	0	143	1	1	1	1	1	1	1
Os03g0341600.cds.faa	1	15	26	172	3.1	2	0	0.519737	0.526316	0	182	0.889265	0.994505	0.67033	1	0.461538	0.994505	0.620879
LOC_Os04g12150.cds.faa	1	4	4	176	3.2	2	0	0	0.465909	0.1	196	0.914541	0.964286	0.897959	1	0.25	0.897959	0.862245
LOC_Os03g50830.cds.faa	1	16	17	147	4.3	2	0.1	0	0.865385	0	177	0.786972	0.909605	0.587571	1	0.058824	0.909605	0.389831
LOC_Os04g04360.cds.faa	1	12	12	98	1.3	2	0	0	0.102041	0	113	0.878319	1	0.867257	1	0.083333	0.867257	0.867257
LOC_Os04g15600.cds.faa	1	3	4	199	29.5	1	0	0	0.864198	0.1	230	0.736957	0.865217	0.352174	1	0.25	0.865217	0.217391
LOC_Os02g54800.cds.faa	1	13	13	246	12.1	2	0.1	0	0.752475	0	447	0.533127	0.66443	0.225951	1	0.076923	0.550336	0.194631
LOC_Os04g19620.cds.faa	1	14	14	108	5.9	2	0.1	0.176471	0.601852	0	135	0.710053	0.874074	0.503704	1	0.214286	0.874074	0.503704
Os04g0202300.cds.faa	1	5	5	811	0	1	0	0	0.001233	0	811	1	1	1	1	1	1	1
LOC_Os04g09950.cds.faa	1	9	10	61	8	1	0.1	0	0.393443	0	141	0.489362	1	0.432624	1	0.1	0.432624	0.432624
LOC_Os04g03970.cds.faa	1	13	13	455	6.7	2	0	0	0.245614	0	481	0.91748	0.945946	0.829522	1	0.230769	0.945946	0.77131
LOC_Os04g30620.cds.faa	1	4	4	671	19.1	14	0.2	0	0.205734	0	728	0.892857	0.921703	0.81456	1	0.25	0.921703	0.728022
LOC_Os04g33100.cds.faa	1	13	13	57	0	2	0	0	0.035088	0	57	1	1	1	1	1	1	1
LOC_Os04g34780.cds.faa	1	4	4	64	0	2	0	0	0	0	64	1	1	1	1	1	1	1
LOC_Os04g10924.cds.faa	1	14	14	94	16.1	3	0.3	0	0.03271	0	219	0.729289	1	0.429224	1	0.285714	1	0.429224
LOC_Os04g32440.cds.faa	1	9	9	227	2.2	3	0.1	0	0.108491	0	227	0.985316	1	0.933921	1	0.777778	1	0.933921
LOC_Os04g31640.cds.faa	1	14	14	125	4.1	2	0	0	0.597015	0	137	0.882169	0.912409	0.489051	1	0.071429	0.912409	0.40146
Os04g0316800.cds.faa	1	8	11	93	45.9	3	0.3	0	0.860215	0	433	0.556792	1	0.214781	0.727273	0.272727	1	0
LOC_Os04g44140.cds.faa	1	10	10	176	0	2	0	0	0.005682	0	176	1	1	1	1	1	1	1
LOC_Os04g44660.cds.faa	1	6	6	118	6.3	2	0	0	0.084746	0	156	0.797009	1	0.75641	1	0.166667	0.75641	0.75641
LOC_Os04g48470.cds.faa	1	8	8	98	1.7	2	0.1	0	0.305882	0	101	0.945545	0.970297	0.841584	1	0.25	0.970297	0.811881
gene:OsNip_02G020510.cds.faa	1	16	21	115	6.5	2	0	0	0.878261	0	201	0.521677	0.870647	0.298507	1	0.047619	0.651741	0.268657
Os04g0231266.cds.faa	1	11	20	357	12.1	3	0.2	0	0.877966	0	415	0.757831	0.860241	0.53494	1	0.25	0.860241	0.426506
LOC_Os04g11430.cds.faa	1	15	15	740	2.2	1	0.3	0	0.092697	0	765	0.966013	0.980392	0.930719	1	0.066667	0.980392	0.915033
LOC_Os04g48550.cds.faa	1	6	6	107	0	2	0	0	0	0	107	1	1	1	1	1	1	1
LOC_Os04g54910.cds.faa	1	9	9	141	0.3	2	0	0	0.297101	0	145	0.970115	0.972414	0.951724	1	0.111111	0.972414	0.924138
LOC_Os03g23770.cds.faa	1	14	14	172	3.8	2	0.2	0.244186	0.64467	0	244	0.74678	0.831967	0.704918	1	0.142857	0.831967	0.622951
LOC_Os04g49710.cds.faa	1	9	9	100	0.9	2	0.1	0	0.380435	0	103	0.962244	0.970874	0.893204	1	0.111111	0.970874	0.864078
LOC_Os04g53080.cds.faa	1	12	13	119	2.4	1	0	0	0.227273	0	119	0.979961	1	0.739496	1	0.923077	1	0.739496
LOC_Os04g48450.cds.faa	1	13	13	76	3.7	2	0.1	0	0.460526	0	103	0.831964	0.990291	0.718447	1	0.384615	0.990291	0.708738
Os03g0788600.cds.faa	1	16	23	474	44.2	2	0.6	0	0.885714	0	1451	0.400024	0.685045	0.168849	0.695652	0.043478	0.637491	0
Os04g0259100.cds.faa	1	16	16	216	14	1	0.1	0.006369	0.528662	0	280	0.6875	0.975	0.303571	1	0.0625	0.975	0.296429
LOC_Os04g08788.cds.faa	1	11	11	108	5.9	1	0	0.848485	0.848485	0	117	0.808081	0.931624	0.564103	1	0.090909	0.923077	0.495726
LOC_Os04g47750.cds.faa	1	13	13	167	42.1	1	0.2	0	0.675926	0	678	0.274109	1	0.159292	1	0.076923	0.323009	0.048673
