transcript	source	gene_id	species	Pan.id	V4	V5	V6	V12	V13	merged.or.gene_id	taxa_size	accession	ipr_check	pfam_check
LOC_Os01g09550.1	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.1	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.1	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.2	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	1
LOC_Os01g09550.2	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.2	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.2	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.2	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.3	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.3	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.3	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.3	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.4	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.4	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.4	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.4	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.4	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	1
LOC_Os01g15640.1	Hmmer	LOC_Os01g15640	Nipponbare(MSU)	Os4530.POR.1.pan0001559	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0261200	16	Nipponbare	1	0
LOC_Os01g15640.1	Hmmer	LOC_Os01g15640	Nipponbare(MSU)	Os4530.POR.1.pan0001559	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0261200	16	Nipponbare	1	0
LOC_Os01g15640.1	Hmmer	LOC_Os01g15640	Nipponbare(MSU)	Os4530.POR.1.pan0001559	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0261200	16	Nipponbare	1	0
LOC_Os01g15640.1	Hmmer	LOC_Os01g15640	Nipponbare(MSU)	Os4530.POR.1.pan0001559	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0261200	16	Nipponbare	1	1
LOC_Os01g28050.1	Hmmer	LOC_Os01g28050	Nipponbare(MSU)	Os4530.POR.1.pan0026793	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	OsNip_01G017300	16	Nipponbare	1	1
LOC_Os01g28050.1	Hmmer	LOC_Os01g28050	Nipponbare(MSU)	Os4530.POR.1.pan0026793	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	OsNip_01G017300	16	Nipponbare	1	0
LOC_Os01g28050.1	Hmmer	LOC_Os01g28050	Nipponbare(MSU)	Os4530.POR.1.pan0026793	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	OsNip_01G017300	16	Nipponbare	1	0
LOC_Os01g28050.1	Hmmer	LOC_Os01g28050	Nipponbare(MSU)	Os4530.POR.1.pan0026793	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	OsNip_01G017300	16	Nipponbare	1	0
LOC_Os01g29840.1	Hmmer	LOC_Os01g29840	Nipponbare(MSU)	Os4530.POR.1.pan0002001	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0393100	16	Nipponbare	1	0
LOC_Os01g29840.1	Hmmer	LOC_Os01g29840	Nipponbare(MSU)	Os4530.POR.1.pan0002001	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0393100	16	Nipponbare	1	1
LOC_Os01g29840.1	Hmmer	LOC_Os01g29840	Nipponbare(MSU)	Os4530.POR.1.pan0002001	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0393100	16	Nipponbare	1	0
LOC_Os01g29840.1	Hmmer	LOC_Os01g29840	Nipponbare(MSU)	Os4530.POR.1.pan0002001	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0393100	16	Nipponbare	1	0
LOC_Os01g47670.1	Hmmer	LOC_Os01g47670	Nipponbare(MSU)	Os4530.POR.1.pan0002676	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0667000	16	Nipponbare	1	0
LOC_Os01g47670.1	Hmmer	LOC_Os01g47670	Nipponbare(MSU)	Os4530.POR.1.pan0002676	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0667000	16	Nipponbare	1	0
LOC_Os01g47670.1	Hmmer	LOC_Os01g47670	Nipponbare(MSU)	Os4530.POR.1.pan0002676	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0667000	16	Nipponbare	1	0
LOC_Os01g47670.1	Hmmer	LOC_Os01g47670	Nipponbare(MSU)	Os4530.POR.1.pan0002676	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0667000	16	Nipponbare	1	1
LOC_Os01g48130.1	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.1	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.1	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.1	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.1	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0672100	16	Nipponbare	1	1
LOC_Os01g48130.2	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.2	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.2	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48130.2	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0672100	16	Nipponbare	1	1
LOC_Os01g48130.2	Hmmer	LOC_Os01g48130	Nipponbare(MSU)	Os4530.POR.1.pan0002695	PANTHER	PTHR31079	NAC DOMAIN-CONTAINING PROTEIN 73	IPR044799	NAC domain-containing protein SOG1-like	Os01g0672100	16	Nipponbare	1	0
LOC_Os01g48446.1	Hmmer	LOC_Os01g48446	Nipponbare(MSU)	Os4530.POR.1.pan0002719	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0675800	16	Nipponbare	1	0
LOC_Os01g48446.1	Hmmer	LOC_Os01g48446	Nipponbare(MSU)	Os4530.POR.1.pan0002719	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0675800	16	Nipponbare	1	0
LOC_Os01g48446.1	Hmmer	LOC_Os01g48446	Nipponbare(MSU)	Os4530.POR.1.pan0002719	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0675800	16	Nipponbare	1	0
LOC_Os01g48446.1	Hmmer	LOC_Os01g48446	Nipponbare(MSU)	Os4530.POR.1.pan0002719	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0675800	16	Nipponbare	1	1
LOC_Os01g59640.1	Hmmer	LOC_Os01g59640	Nipponbare(MSU)	Os4530.POR.1.pan0027226	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	OsNip_01G037300	16	Nipponbare	1	1
LOC_Os01g59640.1	Hmmer	LOC_Os01g59640	Nipponbare(MSU)	Os4530.POR.1.pan0027226	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	OsNip_01G037300	16	Nipponbare	1	0
LOC_Os01g59640.1	Hmmer	LOC_Os01g59640	Nipponbare(MSU)	Os4530.POR.1.pan0027226	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	OsNip_01G037300	16	Nipponbare	1	0
LOC_Os01g59640.1	Hmmer	LOC_Os01g59640	Nipponbare(MSU)	Os4530.POR.1.pan0027226	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	OsNip_01G037300	16	Nipponbare	1	0
LOC_Os01g60020.1	Hmmer	LOC_Os01g60020	Nipponbare(MSU)	Os4530.POR.1.pan0003426	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0816100	16	Nipponbare	1	0
LOC_Os01g60020.1	Hmmer	LOC_Os01g60020	Nipponbare(MSU)	Os4530.POR.1.pan0003426	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0816100	16	Nipponbare	1	1
LOC_Os01g60020.1	Hmmer	LOC_Os01g60020	Nipponbare(MSU)	Os4530.POR.1.pan0003426	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0816100	16	Nipponbare	1	0
LOC_Os01g60020.1	Hmmer	LOC_Os01g60020	Nipponbare(MSU)	Os4530.POR.1.pan0003426	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0816100	16	Nipponbare	1	0
LOC_Os01g64310.1	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.1	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.1	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0862800	16	Nipponbare	1	1
LOC_Os01g64310.1	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.2	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.2	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.2	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0862800	16	Nipponbare	1	0
LOC_Os01g64310.2	Hmmer	LOC_Os01g64310	Nipponbare(MSU)	Os4530.POR.1.pan0003681	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0862800	16	Nipponbare	1	1
LOC_Os01g66120.1	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66120.1	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66120.1	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66120.1	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0884300	16	Nipponbare	1	1
LOC_Os01g66120.3	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66120.3	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0884300	16	Nipponbare	1	1
LOC_Os01g66120.3	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66120.3	Hmmer	LOC_Os01g66120	Nipponbare(MSU)	Os4530.POR.1.pan0003802	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0884300	16	Nipponbare	1	0
LOC_Os01g66490.1	Hmmer	LOC_Os01g66490	Nipponbare(MSU)	Os4530.POR.1.pan0003826	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0888300	16	Nipponbare	1	0
LOC_Os01g66490.1	Hmmer	LOC_Os01g66490	Nipponbare(MSU)	Os4530.POR.1.pan0003826	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0888300	16	Nipponbare	1	0
LOC_Os01g66490.1	Hmmer	LOC_Os01g66490	Nipponbare(MSU)	Os4530.POR.1.pan0003826	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0888300	16	Nipponbare	1	1
LOC_Os01g66490.1	Hmmer	LOC_Os01g66490	Nipponbare(MSU)	Os4530.POR.1.pan0003826	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0888300	16	Nipponbare	1	0
LOC_Os01g70110.1	Hmmer	LOC_Os01g70110	Nipponbare(MSU)	Os4530.POR.1.pan0004033	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0925400	16	Nipponbare	1	0
LOC_Os01g70110.1	Hmmer	LOC_Os01g70110	Nipponbare(MSU)	Os4530.POR.1.pan0004033	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0925400	16	Nipponbare	1	1
LOC_Os01g70110.1	Hmmer	LOC_Os01g70110	Nipponbare(MSU)	Os4530.POR.1.pan0004033	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0925400	16	Nipponbare	1	0
LOC_Os01g70110.1	Hmmer	LOC_Os01g70110	Nipponbare(MSU)	Os4530.POR.1.pan0004033	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0925400	16	Nipponbare	1	0
LOC_Os01g71790.1	Hmmer	LOC_Os01g71790	Nipponbare(MSU)	Os4530.POR.1.pan0004129	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0946200	13	Nipponbare	1	1
LOC_Os01g71790.1	Hmmer	LOC_Os01g71790	Nipponbare(MSU)	Os4530.POR.1.pan0004129	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0946200	13	Nipponbare	1	0
LOC_Os01g71790.1	Hmmer	LOC_Os01g71790	Nipponbare(MSU)	Os4530.POR.1.pan0004129	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0946200	13	Nipponbare	1	0
LOC_Os01g71790.1	Hmmer	LOC_Os01g71790	Nipponbare(MSU)	Os4530.POR.1.pan0004129	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0946200	13	Nipponbare	1	0
LOC_Os02g06950.1	Hmmer	LOC_Os02g06950	Nipponbare(MSU)	Os4530.POR.1.pan0027488	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	OsNip_02G005080	16	Nipponbare	1	1
LOC_Os02g06950.1	Hmmer	LOC_Os02g06950	Nipponbare(MSU)	Os4530.POR.1.pan0027488	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	OsNip_02G005080	16	Nipponbare	1	0
LOC_Os02g06950.1	Hmmer	LOC_Os02g06950	Nipponbare(MSU)	Os4530.POR.1.pan0027488	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	OsNip_02G005080	16	Nipponbare	1	0
LOC_Os02g06950.1	Hmmer	LOC_Os02g06950	Nipponbare(MSU)	Os4530.POR.1.pan0027488	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	OsNip_02G005080	16	Nipponbare	1	0
LOC_Os02g12310.1	Hmmer	LOC_Os02g12310	Nipponbare(MSU)	Os4530.POR.1.pan0004983	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os02g0214500	16	Nipponbare	1	0
LOC_Os02g12310.1	Hmmer	LOC_Os02g12310	Nipponbare(MSU)	Os4530.POR.1.pan0004983	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os02g0214500	16	Nipponbare	1	0
LOC_Os02g12310.1	Hmmer	LOC_Os02g12310	Nipponbare(MSU)	Os4530.POR.1.pan0004983	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os02g0214500	16	Nipponbare	1	1
LOC_Os02g12310.1	Hmmer	LOC_Os02g12310	Nipponbare(MSU)	Os4530.POR.1.pan0004983	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os02g0214500	16	Nipponbare	1	0
LOC_Os02g15340.1	Hmmer	LOC_Os02g15340	Nipponbare(MSU)	Os4530.POR.1.pan0005125	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os02g0252200	16	Nipponbare	1	0
LOC_Os02g15340.1	Hmmer	LOC_Os02g15340	Nipponbare(MSU)	Os4530.POR.1.pan0005125	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os02g0252200	16	Nipponbare	1	0
LOC_Os02g15340.1	Hmmer	LOC_Os02g15340	Nipponbare(MSU)	Os4530.POR.1.pan0005125	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os02g0252200	16	Nipponbare	1	1
LOC_Os02g15340.1	Hmmer	LOC_Os02g15340	Nipponbare(MSU)	Os4530.POR.1.pan0005125	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os02g0252200	16	Nipponbare	1	0
LOC_Os02g18460.1	Hmmer	LOC_Os02g18460	Nipponbare(MSU)	Os4530.POR.1.pan0005238	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g18460.1	Hmmer	LOC_Os02g18460	Nipponbare(MSU)	Os4530.POR.1.pan0005238	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g18460.1	Hmmer	LOC_Os02g18460	Nipponbare(MSU)	Os4530.POR.1.pan0005238	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g18460.1	Hmmer	LOC_Os02g18460	Nipponbare(MSU)	Os4530.POR.1.pan0005238	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os02g0285900	13	Nipponbare	1	1
LOC_Os02g18470.1	Hmmer	LOC_Os02g18470	Nipponbare(MSU)	Os4530.POR.1.pan0005238	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os02g0285900	13	Nipponbare	1	1
LOC_Os02g18470.1	Hmmer	LOC_Os02g18470	Nipponbare(MSU)	Os4530.POR.1.pan0005238	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g18470.1	Hmmer	LOC_Os02g18470	Nipponbare(MSU)	Os4530.POR.1.pan0005238	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g18470.1	Hmmer	LOC_Os02g18470	Nipponbare(MSU)	Os4530.POR.1.pan0005238	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os02g0285900	13	Nipponbare	1	0
LOC_Os02g34970.1	Hmmer	LOC_Os02g34970	Nipponbare(MSU)	Os4530.POR.1.pan0005789	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os02g0555300	16	Nipponbare	1	0
LOC_Os02g34970.1	Hmmer	LOC_Os02g34970	Nipponbare(MSU)	Os4530.POR.1.pan0005789	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os02g0555300	16	Nipponbare	1	0
LOC_Os02g34970.1	Hmmer	LOC_Os02g34970	Nipponbare(MSU)	Os4530.POR.1.pan0005789	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os02g0555300	16	Nipponbare	1	0
LOC_Os02g34970.1	Hmmer	LOC_Os02g34970	Nipponbare(MSU)	Os4530.POR.1.pan0005789	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os02g0555300	16	Nipponbare	1	1
